Brand,Ship Code,Ship Name,Deck Code,Deck Name,Deck Number
R,BR,BRILLIANCE OF THE SEAS,09,DECK NINE,9
R,BR,BRILLIANCE OF THE SEAS,13,DECK THIRTEEN,13
R,BR,BRILLIANCE OF THE SEAS,12,DECK TWELVE,12
R,BR,BRILLIANCE OF THE SEAS,08,DECK EIGHT,8
R,BR,BRILLIANCE OF THE SEAS,11,DECK ELEVEN,11
R,EN,ENCHANTMENT OF THE SEAS,MD,DECK FOUR,4
R,EN,ENCHANTMENT OF THE SEAS,BD,DECK TWO,2
R,EN,ENCHANTMENT OF THE SEAS,AD,DECK THREE,3
R,EN,ENCHANTMENT OF THE SEAS,PD,DECK FIVE,5
R,EN,ENCHANTMENT OF THE SEAS,MR,DECK SIX,6
R,EN,ENCHANTMENT OF THE SEAS,CM,DECK SEVEN,7
R,EN,ENCHANTMENT OF THE SEAS,BR,DECK EIGHT,8
R,EN,ENCHANTMENT OF THE SEAS,SD,DECK NINE,9
R,EN,ENCHANTMENT OF THE SEAS,CD,DECK TEN,10
R,EN,ENCHANTMENT OF THE SEAS,VC,DECK ELEVEN,11
R,EN,ENCHANTMENT OF THE SEAS,SH,DECK TWELVE,12
R,EX,EXPLORER OF THE SEAS,05,DECK FIVE,5
R,EX,EXPLORER OF THE SEAS,04,DECK FOUR,4
R,EX,EXPLORER OF THE SEAS,11,DECK ELEVEN,11
R,EX,EXPLORER OF THE SEAS,02,DECK TWO,2
R,EX,EXPLORER OF THE SEAS,06,DECK SIX,6
R,EX,EXPLORER OF THE SEAS,03,DECK THREE,3
R,EX,EXPLORER OF THE SEAS,07,DECK SEVEN,7
R,EX,EXPLORER OF THE SEAS,13,DECK THIRTEEN,13
R,EX,EXPLORER OF THE SEAS,09,DECK NINE,9
R,EX,EXPLORER OF THE SEAS,10,DECK TEN,10
R,EX,EXPLORER OF THE SEAS,12,DECK TWELVE,12
R,EX,EXPLORER OF THE SEAS,14,DECK FOURTEEN,14
R,EX,EXPLORER OF THE SEAS,15,DECK FIFTEEN,15
R,EX,EXPLORER OF THE SEAS,08,DECK EIGHT,8
R,FR,FREEDOM OF THE SEAS,07,DECK SEVEN,7
R,FR,FREEDOM OF THE SEAS,06,DECK SIX,6
R,FR,FREEDOM OF THE SEAS,03,DECK THREE,3
R,FR,FREEDOM OF THE SEAS,04,DECK FOUR,4
R,FR,FREEDOM OF THE SEAS,08,DECK EIGHT,8
R,FR,FREEDOM OF THE SEAS,05,DECK FIVE,5
R,FR,FREEDOM OF THE SEAS,02,DECK TWO,2
R,FR,FREEDOM OF THE SEAS,09,DECK NINE,9
R,FR,FREEDOM OF THE SEAS,11,DECK ELEVEN,11
R,FR,FREEDOM OF THE SEAS,15,DECK FIFTEEN,15
R,FR,FREEDOM OF THE SEAS,14,DECK FOURTEEN,14
R,FR,FREEDOM OF THE SEAS,10,DECK TEN,10
R,FR,FREEDOM OF THE SEAS,12,DECK TWELVE,12
R,FR,FREEDOM OF THE SEAS,13,DECK THIRTEEN,13
R,GR,GRANDEUR OF THE SEAS,PD,DECK FIVE,5
R,GR,GRANDEUR OF THE SEAS,BD,DECK TWO,2
R,GR,GRANDEUR OF THE SEAS,AD,DECK THREE,3
R,GR,GRANDEUR OF THE SEAS,MD,DECK FOUR,4
R,GR,GRANDEUR OF THE SEAS,MR,DECK SIX,6
R,GR,GRANDEUR OF THE SEAS,CM,DECK SEVEN,7
