Airport Code,Airport Name,Airport City,Airport State,Airport Country
YNF,DEER LAKE  ARPT,CORNER LAKE,,CAN
YNG,YOUNGSTOWN ARPT,YOUNGSTOWN,OH,USA
YNT,LAISHAN AIRPORT,YANTAI,,CHN
YOK,YOKOHAMA,YOKOHAMA,,JPN
YOW,OTTAWA INTL,OTTAWA ONTARIO,,CAN
YPR,PRINCE RUPERT,PRINCE RUPERT BC,,CAN
YQB,QUEBEC AIRPORT,QUEBEC,,CAN
YQG,WINDSOR AIRPORT,WINDSOR ONTARIO,,CAN
YQL,LETHBRIDGE,LETHBRIDGE,,CAN
YQM,MONCTON AIRPORT,MONCTON  N.B.,,CAN
YQQ,COMOX,COMOX,,CAN
YQR,REGINA AIRPORT,REGINA SASKATCHN,,CAN
YQT,THUNDER BAY ARPT,THUNDER BAY,,CAN
YQU,GRANDE PRAIRIE,GRAND PRAIRIE,,CAN
YQY,SYDNEY AIRPORT,SYDNEY NOVA SCOT,,CAN
YRC,YANGTZE RIVER,CRUISING,,CHN
YSB,GREATER GRAND,SUDBURY,,CAN
YSJ,ST JOHN AIRPORT,ST JOHN NEW BRNW,,CAN
YTS,TIMMINS,"TIMMINS,ONTARIO",,CAN
YTZ,CITY CENTER ARPT,TORONTO,,CAN
YUL,DORVAL INTL,MONTREAL QUEBEC,,CAN
YUM,YUMA INTL,YUMA,AZ,USA
YUY,ROUYN-NORANDA,ROUYN-NORANDA,,CAN
YVO,VAL D'OR AIRPORT,VAL D'OR,,CAN
YVR,VANCOUVER INTL,VANCOUVER B C,,CAN
YWG,WINNIPEG INTL,WINNIPEG MB,,CAN
YXC,CRANBROOK,CRANBROOK,,CAN
YXD,EDMONTON MUNI,EDMONTON ALBERTA,,CAN
YXE,SASKATOON ARPT,SASKATOON,,CAN
YXS,PRINCE GEORGE,PRINCE GEORGE,,CAN
YXT,TERRACE,TERRACE,,CAN
YXU,LONDON AIRPORT,LONDON,,CAN
YXX,ABBOTSFORD,ABBOTSFORD,,CAN
YXY,WHITEHORSE ARPT,WHITEHORSE YUKON,,CAN
YYC,CALGARY INTL,CALGARY ALBERTA,,CAN
YYF,PENTICTON,PENTICTON BC,,CAN
YYG,CHARLOTTETOWN,CHARLOTTETOWN,,CAN
YYJ,VICTORIA INTL,VICTORIA BC,,CAN
YYT,SAINT JOHNS ARPT,SAINT JOHNS NF,,CAN
YYY,MONT JOLI,MONT JOLI,,CAN
YYZ,PEARSON INTL,TORONTO,,CAN
ZAD,ZADAR,ZADAR,,HRV
ZAG,PLESO,ZAGREB,,HRV
ZAL,PICHOY,VALDIVIA,,CHL
ZAZ,ZARAGOZA,ZARAGOZA,,ESP
ZHA,ZHANJIANG ARPT,ZHANJIANG,,CHN
ZIH,IXTAPA INTL,"IXTAPA,ZIHUATNJO",,MEX
ZLO,PLAYA DE ORO,MANZANILLO,,MEX
ZMI,MERGELLINA RLWY,NAPLES,,ITA
ZQN,FRANKTON,QUEENSTOWN,,NZL
ZRH,ZURICH AIRPORT,ZURICH,,CHS
ZRK,VAN GALDER- BUS,ROCKFORD,IL,USA
ZTH,ZAKINTHOS INTL,ZAKINTHOS,,GRC
ZUD,ANCUD,ANCUD,,CHL
ZWS,STUTTGART RAIL,STUTTGART RAIL,,DEU
ZZZ,NO FLIGHTS,NO FLIGHTS,,AUS
HYD,BEGUMPET AIRPORT,"HYDERABAD, INDIA",,IND
HVB,HERVEY BAY,HERVEY BAY,,AUS
KWE,LONGDONGBAO INTL,GUI YANG,,CHN
CGO,ZINZHENG INTL,ZHENGZHOU,,CHN
NNG,WUXU INTL,NANNING,,CHN
ZHY,XIANGSHAN,ZHONGWEI,,CHN
SHE,TAOXIAN INTL,SHENYANG,,CHN
FSZ,MT FUJI SHIZUOKA,"SHIZUOKA, HONSHU",,JPN
UUS,YUZHNO-SAKHALINS,YUZHNO-SAKHALINS,,RUE
EBJ,ESBJERG AIRPORT,ESBJERG,,DNK
DIK,DICKINSON,DICKINSON,ND,USA
QDU,DUS RAILWAY,DUESSELDORF,,DEU
YQX,GANDER INTL,GANDER,,CAN
PUY,PULA,PULA,,HRV
YYB,NORTH BAY,NORTH BAY,,CAN
LIL,LILLE,LESQUIN,,FRA
YQZ,QUESNEL,QUESNEL,,CAN
ZEP,VICTORIA RAIL,LONDON,,GBR
PMQ,PERITO MORENO,SANTA CRUZ,,ARG
ASR,ERKILET,KAYSER,,TUR
XYD,PARTDIEU RAILWA,LYS,,FRA
LWO,LVIV INTRNATIONA,LVIV UKRAINE,,UKR
MMK,MURMANSK AIRPORT,MURMANSK,,RUE
EGS,EGILSSTADIR,EGILSSTADIR,,ISL
RKV,REYKJAVIK DOMEST,REYKJAVIK,,ISL
HYS,HAYS MNPL,HAYS,KS,USA
IKT,IRKUTSK,IRKUTSK,,RUE
KGI,KALGOORLIE,KALGOORLIE,,AUS
TNA,YAOQIANG INTL,JINAN,,CHN
FOC,CHANGLE INTL,FUZHOU,,CHN
MCM,MONTE CARLO,MONTE CARLO,,MCO
GMP,SEOUL,GIMPO INTERNATNL,,KOR
SAF,SANTA FE,SANTA FE,NM,USA
OYB,ORLY BUSINESS AP,PARIS,,PAR
RAK,MENARA,MARRAKECH,,MAR
ELH,NORTH ELEUTHERA,BAHAMAS,,BHS
WRO,COPERNICUS,WROCLAW,,POL
LUG,LUGANO,LUGANO,,CHS
BRC,SAN CARLOS DE,SAN CARLOS DE,,ARG
ZOS,HOTT SIEBERT,OSORNO,,CHL
SDJ,SENDAI,SENDAI,,JPN
KCZ,KOCHI RYOMA,NANKOTU,,JPN
ROR,PALAU,KOROR PALAU ISL,,PLW
YXJ,FORT ST JOHN,FORT ST JOHN,,CAN
RYG,MOSS LUFTHAVEN,RYGGE,,NOR
ZXU,RYGGE,RYGGE CITY,,NOR
PMR,PALMERSTON NORTH,PALMERSTON NORTH,,NZL
GGT,EXUMA INT'L,MOSS TOWN,,BHS
TRU,C MARTINEZ DE PI,TRUJILLO,,PER
MHH,MARSH HARBOUR,MARSH HARBOUR,,BHS
ITM,OSAKA INTL ITAMI,OSAKA,,JPN
DWC,AL MAKTOUM INTL,JEBEL ALI,,UAE
ZBF,BATHURST,NEW BRUNSWICK,,CAN
APN,ALPENA,ALPENA,MI,USA
NVK,NARVIK,NARVIK,,NOR
PLO,PORT LINCOLN,AUSTRALIA,,AUS
TBU,FUA AMOTU INTL,NUKU ALOFA,,TON
OUL,OULU,OULU,,FIN
VAA,VAASA,VAASA,,FIN
ULN,CHINGGIS KHAAN,ULAANBAATAR,,MNG
LAO,LAOAG,LAOAG,,PHL
